Gamma,Corr_Avg,Corr_Avg_Scaled
1.0,0.47920821694499727,0.4811252378236366
1.5,0.5578559837126337,0.5600876265147305
2.0,0.6343667950902395,0.6369045111558284
4.0,0.754076440474946,0.7570930420885331
6.0,0.8104574386467776,0.8136995863733737
8.0,0.8433442710701847,0.8467179790291782
10.0,0.8650193291193734,0.8684797458144793
12.0,0.8794355744778198,0.8829536618103784
14.0,0.8930959945145878,0.8966687288867743
16.0,0.9022240664758856,0.9058333167171928
18.0,0.9101245883664472,0.9137654437949795
20.0,0.9170072636753773,0.9206756525054699
30.0,0.9417740945062838,0.945541560376631
40.0,0.9560349421542497,0.9598594570102392
50.0,0.9650466389461181,0.9689072041248924
60.0,0.9711708753173187,0.9750559398443391
70.0,0.975731020954895,0.9796343278535771
80.0,0.9789225637146554,0.9828386380365352
100.0,0.9833004168230073,0.9872340042749119
150.0,0.9879180533279771,0.9918701131375688
200.0,0.9901420728004217,0.9941030295604671
250.0,0.9920190948891988,0.9959875604740236
300.0,0.9930996597597949,0.9970724480280471
350.0,0.9940345725277921,0.9980111008139166
400.0,0.9948088798033093,0.9987885056223249
450.0,0.9955457275820612,0.999528301081284
500.0,0.9960155470386236,1.0

Correlation Ratio:,0.8
Gamma Chosen:,6.0
