Gamma,Corr_Avg,Corr_Avg_Scaled
1.0,0.15326057026777906,0.16674170556880327
1.5,0.16999591191634505,0.18494912450821446
2.0,0.20322593103495334,0.22110212886047328
4.0,0.3063039678949594,0.3332471355160749
6.0,0.3861565449324065,0.4201237200545798
8.0,0.45215528973158764,0.491927858940322
10.0,0.5088585735404084,0.5536188877360202
12.0,0.557796534752686,0.6068615391586126
14.0,0.5989428703432617,0.6516271965112613
16.0,0.6330233960291972,0.6887055198505619
18.0,0.6624093005675915,0.7206762728880379
20.0,0.6878298345619815,0.7483328527068946
30.0,0.7756969781267445,0.8439289825911097
40.0,0.8223279170652718,0.894661681009885
50.0,0.8510050354121904,0.9258613014707056
60.0,0.8697603395669528,0.9462663632407531
70.0,0.8829770219858015,0.960645613981042
80.0,0.8911751355232822,0.9695648515337787
100.0,0.9044945646121275,0.984055886766105
150.0,0.917136409616512,0.9978097361344359
200.0,0.9191495897499895,1.0
250.0,0.9166861630503198,0.9973198848945363
300.0,0.9157090152273811,0.9962567850097782
350.0,0.9119860608711271,0.9922063514375163
400.0,0.9084341812733123,0.9883420407339878
450.0,0.9049638206432451,0.9845664195850831
500.0,0.9010951095997235,0.9803574082482299

Correlation Ratio:,0.8
Gamma Chosen:,30.0
