Gamma,Corr_Avg,Corr_Avg_Scaled
1.0,0.15430274285558895,0.1664619769717935
2.0,0.2058713103632133,0.22209420708034347
3.0,0.26329287105665744,0.28404065298884096
4.0,0.3108469154137122,0.33534201089203897
5.0,0.35271359276399755,0.3805078307082891
6.0,0.3907313431008483,0.4215214236229339
7.0,0.4256424685203677,0.4591835859934516
8.0,0.4575291571858666,0.49358298250522126
9.0,0.4867385125402546,0.5250940687528171
10.0,0.5143484612413003,0.5548797132579653
12.0,0.5630463732940205,0.6074150769506316
14.0,0.6040585047886371,0.6516590117121176
16.0,0.638085627579022,0.6883675110266797
18.0,0.6674457890562236,0.720041287093513
20.0,0.6928389251245518,0.7474354315735219
30.0,0.781061015705158,0.8426095246508986
40.0,0.8280947336789978,0.8933495538517182
50.0,0.8569770377308191,0.9245078167768707
60.0,0.8758687629736583,0.9448882317593451
70.0,0.8891950031282132,0.9592645950091171
80.0,0.8975372539225847,0.9682642247883831
100.0,0.9111260713988264,0.9829238567556584
150.0,0.9243927942993149,0.9972360127230939
200.0,0.9269548858099596,1.0
250.0,0.9250292363516968,0.9979226071433022
300.0,0.924620729535442,0.9974819095187378
350.0,0.9214622356903335,0.9940745227154969
400.0,0.9185959237248017,0.9909823420609581
450.0,0.9157883258964044,0.9879535022852832
500.0,0.9125793469731412,0.9844916521214976

Correlation Ratio:,0.95
Gamma Chosen:,60.0
