Gamma,Corr_Avg,Corr_Avg_Scaled
1.0,0.5604889897763496,0.6305768213889605
2.0,0.6964779381930927,0.7835708683743872
3.0,0.7356497587741971,0.827641033106629
4.0,0.7537953601973939,0.8480556993647408
5.0,0.7659303246560901,0.8617081126246088
6.0,0.7646876615090964,0.8603100573700333
7.0,0.7618863996669339,0.857158504314524
8.0,0.760496766599391,0.8555951008960593
9.0,0.7648290326882753,0.8604691066830952
10.0,0.7623492940240982,0.8576792825237374
12.0,0.7642304425900951,0.859795664299194
14.0,0.7728562828888171,0.8695001456656296
16.0,0.786210404086293,0.8845241683507271
18.0,0.8006987666897838,0.9008242666653888
20.0,0.8124845646203157,0.9140838509429192
30.0,0.8467465209775202,0.9526301844630731
40.0,0.8643735742961317,0.9724614593941633
50.0,0.8741707933734313,0.983483797703931
60.0,0.8787009983794296,0.988580494204718
70.0,0.8814778333165098,0.991704565828042
80.0,0.8837596086287188,0.9942716717832736
100.0,0.8870176619750537,0.997937137047573
150.0,0.8888512402354425,0.9999999999624454
200.0,0.888851240268823,1.0
250.0,0.8888512402352916,0.9999999999622756
300.0,0.8888512401585151,0.9999999998758984
350.0,0.8888512402337656,0.9999999999605588
400.0,0.8888512402117551,0.9999999999357959
450.0,0.8888512400198785,0.9999999997199256
500.0,0.8888512399478724,0.9999999996389153

Correlation Ratio:,0.9
Gamma Chosen:,18.0
